person_id,first_name,last_name,display_first_last,birthdate,country,height,weight,jersey,position,team_id,team_name,team_abbreviation,team_city,from_year,to_year,draft_year,draft_round,draft_number
1512,Chris,Anstey,Chris Anstey,1975-01-01,Australia,7-0,249.0,22,Center,1610612742,Mavericks,DAL,Dallas,1997.0,1999.0,1997,1,18
21,Greg,Anthony,Greg Anthony,1967-11-15,USA,6-1,180.0,50,Guard,1610612752,Knicks,NYK,New York,1991.0,2001.0,1991,1,12
201202,Joel,Anthony,Joel Anthony,1982-08-09,Canada,6-9,245.0,30,Center,1610612748,Heat,MIA,Miami,2007.0,2016.0,Undrafted,Undrafted,Undrafted
203544,Pero,Antic,Pero Antic,1982-07-29,Macedonia,6-11,260.0,6,Forward-Center,1610612737,Hawks,ATL,Atlanta,2013.0,2014.0,Undrafted,Undrafted,Undrafted
353,Darrell,Armstrong,Darrell Armstrong,1968-06-22,USA,6-1,180.0,10,Guard,1610612753,Magic,ORL,Orlando,1994.0,2007.0,Undrafted,Undrafted,Undrafted
2306,Carlos,Arroyo,Carlos Arroyo,1979-07-30,Puerto Rico,6-2,200.0,45,Guard,1610612753,Magic,ORL,Orlando,2001.0,2010.0,Undrafted,Undrafted,Undrafted
201589,Darrell,Arthur,Darrell Arthur,1988-03-25,USA,6-9,235.0,00,Forward,1610612743,Nuggets,DEN,Denver,2008.0,2017.0,2008,1,27
278,Stacey,Augmon,Stacey Augmon,1968-08-01,USA,6-8,213.0,2,Forward-Guard,1610612737,Hawks,ATL,Atlanta,1991.0,2005.0,1991,1,9
201571,D.J.,Augustin,D.J. Augustin,1987-11-10,USA,5-11,183.0,4,Guard,1610612747,Lakers,LAL,Los Angeles,2008.0,2021.0,2008,1,9
138,Anthony,Avent,Anthony Avent,1969-10-18,USA,6-9,240.0,30,Center,1610612749,Bucks,MIL,Milwaukee,1992.0,1999.0,1991,1,15
76078,Dennis,Awtrey,Dennis Awtrey,1948-02-22,USA,6-10,235.0,20,Center,1610612756,Suns,PHX,Phoenix,1970.0,1981.0,1970,3,46
1630555,Joel,Ayayi,Joel Ayayi,2000-03-05,France,6-4,180.0,,Guard,0,,,,2021.0,2021.0,Undrafted,Undrafted,Undrafted
202970,Gustavo,Ayon,Gustavo Ayon,1985-04-01,Mexico,,,,,0,,,,2011.0,2016.0,Undrafted,Undrafted,Undrafted
101235,Kelenna,Azubuike,Kelenna Azubuike,1983-12-16,United Kingdom,6-5,215.0,4,Guard,1610612744,Warriors,GSW,Golden State,2006.0,2011.0,Undrafted,Undrafted,Undrafted
1628407,Dwayne,Bacon,Dwayne Bacon,1995-08-30,USA,6-6,221.0,8,Guard-Forward,1610612753,Magic,ORL,Orlando,2017.0,2020.0,2017,2,40
1628963,Marvin,Bagley III,Marvin Bagley III,1999-03-14,USA,6-10,235.0,35,Forward,1610612765,Pistons,DET,Detroit,2018.0,2022.0,2018,1,2
76084,Carl,Bailey,Carl Bailey,1958-04-23,USA,7-0,210.0,21,Center,1610612757,Trail Blazers,POR,Portland,1981.0,1981.0,1980,3,66
76085,James,Bailey,James Bailey,1957-05-21,USA,6-9,220.0,2,Forward,1610612760,SuperSonics,SEA,Seattle,1979.0,1987.0,1979,1,6
1858,Mark,Baker,Mark Baker,1969-11-11,USA,6-1,175.0,,Guard,0,,,,1998.0,1998.0,Undrafted,Undrafted,Undrafted
1627758,Ron,Baker,Ron Baker,1993-03-30,USA,6-4,220.0,,Guard,0,,,,2016.0,2018.0,Undrafted,Undrafted,Undrafted
1627735,Wade,Baldwin IV,Wade Baldwin IV,1996-03-29,USA,6-4,200.0,,Guard,0,,,,2016.0,2018.0,2016,1,17
1630217,Desmond,Bane,Desmond Bane,1998-06-25,USA,6-5,215.0,22,Guard,1610612763,Grizzlies,MEM,Memphis,2020.0,2022.0,2020,1,30
76097,Stephen,Bardo,Stephen Bardo,1968-04-05,USA,6-5,190.0,25,Guard,1610612742,Mavericks,DAL,Dallas,1991.0,1995.0,1990,2,41
2057,Erick,Barkley,Erick Barkley,1978-02-21,USA,6-1,185.0,1,Guard,1610612757,Trail Blazers,POR,Portland,2000.0,2002.0,2000,1,28
1631230,Dominick,Barlow,Dominick Barlow,2003-05-26,USA,6-9,215.0,26,Forward,1610612759,Spurs,SAS,San Antonio,2022.0,2022.0,Undrafted,Undrafted,Undrafted
1630567,Scottie,Barnes,Scottie Barnes,2001-08-01,USA,6-8,225.0,4,Forward,1610612761,Raptors,TOR,Toronto,2021.0,2022.0,2021,1,4
76114,Ernie,Barrett,Ernie Barrett,1929-08-27,USA,,,,,0,,,,1953.0,2008.0,1951,1,7
1003,Drew,Barry,Drew Barry,1973-02-17,USA,6-5,191.0,10,Guard,1610612737,Hawks,ATL,Atlanta,1997.0,1999.0,1996,2,57
174,John,Battle,John Battle,1962-11-09,USA,6-2,175.0,10,Guard,1610612737,Hawks,ATL,Atlanta,1985.0,1994.0,1985,4,84
76123,Kenny,Battle,Kenny Battle,1964-10-10,USA,6-6,210.0,8,Guard,1610612756,Suns,PHX,Phoenix,1989.0,1992.0,1989,1,27
1627736,Malik,Beasley,Malik Beasley,1996-11-26,USA,6-4,187.0,5,Guard,1610612747,Lakers,LAL,Los Angeles,2016.0,2022.0,2016,1,19
1627761,DeAndre',Bembry,DeAndre' Bembry,1994-07-04,USA,6-5,210.0,,Guard-Forward,0,,,,2016.0,2021.0,2016,1,21
1886,Jonathan,Bender,Jonathan Bender,1981-01-30,USA,7-0,230.0,9,Forward,1610612754,Pacers,IND,Indiana,1999.0,2009.0,1999,1,5
203968,Jerrelle,Benimon,Jerrelle Benimon,1991-08-01,USA,,,,,0,,,,2014.0,2014.0,Undrafted,Undrafted,Undrafted
104,Benoit,Benjamin,Benoit Benjamin,1964-11-22,USA,7-0,250.0,,Center,0,,,,1985.0,1999.0,1985,1,3
203461,Anthony,Bennett,Anthony Bennett,1993-03-14,Canada,6-8,235.0,,Forward,0,,,,2013.0,2016.0,2013,1,1
712,Mario,Bennett,Mario Bennett,1973-08-01,USA,6-9,235.0,24,Center-Forward,1610612747,Lakers,LAL,Los Angeles,1995.0,2002.0,1995,1,27
76152,Winston,Bennett,Winston Bennett,1965-02-09,USA,6-7,210.0,30,Guard,1610612739,Cavaliers,CLE,Cleveland,1989.0,1991.0,1988,3,64
1627791,Ben,Bentil,Ben Bentil,1995-03-29,Ghana,6-9,235.0,,Forward,0,,,,2016.0,2016.0,2016,2,51
76157,Ricky,Berry,Ricky Berry,1964-10-06,USA,6-8,205.0,34,Forward,1610612758,Kings,SAC,Sacramento,1988.0,1988.0,1988,1,18
1629541,Dairis,Bertans,Dairis Bertans,1989-09-09,Latvia,6-4,200.0,9,Guard,1610612740,Pelicans,NOP,New Orleans,2018.0,2018.0,Undrafted,Undrafted,Undrafted
202722,Davis,Bertans,Davis Bertans,1992-11-12,Latvia,6-10,225.0,44,Forward,1610612742,Mavericks,DAL,Dallas,2016.0,2022.0,2011,2,42
1630189,Tyler,Bey,Tyler Bey,1998-02-10,USA,6-7,215.0,2,Forward,1610612742,Mavericks,DAL,Dallas,2020.0,2020.0,2020,2,36
1449,Larry,Bird,Larry Bird,1956-12-07,USA,6-9,220.0,33,Forward,1610612738,Celtics,BOS,Boston,1979.0,1991.0,1978,1,6
202357,Nemanja,Bjelica,Nemanja Bjelica,1988-05-09,Serbia,6-9,234.0,8,Forward,1610612744,Warriors,GSW,Golden State,2015.0,2021.0,2010,2,35
76184,Ricky,Blanton,Ricky Blanton,1966-04-21,USA,6-7,215.0,17,Forward,1610612741,Bulls,CHI,Chicago,1992.0,1992.0,1989,2,46
101154,Andray,Blatche,Andray Blatche,1986-08-22,USA,6-11,260.0,0,Center-Forward,1610612764,Wizards,WAS,Washington,2005.0,2013.0,2005,2,49
1631205,Buddy,Boeheim,Buddy Boeheim,1999-11-11,USA,6-6,205.0,27,Forward,1610612765,Pistons,DET,Detroit,2022.0,2022.0,Undrafted,Undrafted,Undrafted
2586,Keith,Bogans,Keith Bogans,1980-05-12,USA,6-5,215.0,4,Guard-Forward,1610612753,Magic,ORL,Orlando,2003.0,2013.0,2003,2,43
203992,Bogdan,Bogdanovic,Bogdan Bogdanovic,1992-08-18,Serbia,6-5,225.0,13,Guard,1610612737,Hawks,ATL,Atlanta,2017.0,2022.0,2014,1,27
1629648,Jordan,Bone,Jordan Bone,1997-11-05,USA,6-2,180.0,,Guard,0,,,,2019.0,2020.0,2019,2,57
1626164,Devin,Booker,Devin Booker,1996-10-30,USA,6-5,206.0,1,Guard,1610612756,Suns,PHX,Phoenix,2015.0,2022.0,2015,1,13
1916,Calvin,Booth,Calvin Booth,1976-05-07,USA,6-11,230.0,52,Center,1610612760,SuperSonics,SEA,Seattle,1999.0,2008.0,1999,2,35
1630527,Brandon,Boston Jr.,Brandon Boston Jr.,2001-11-28,USA,6-6,188.0,4,Guard,1610612746,Clippers,LAC,LA,2021.0,2022.0,2021,2,51
76213,Tom,Boswell,Tom Boswell,1953-10-02,USA,6-8,220.0,33,Forward,1610612738,Celtics,BOS,Boston,1975.0,1983.0,1975,1,17
1630547,James,Bouknight,James Bouknight,2000-09-18,USA,6-4,190.0,2,Guard,1610612766,Hornets,CHA,Charlotte,2021.0,2022.0,2021,1,11
2257,Ruben,Boumtje-Boumtje,Ruben Boumtje-Boumtje,1978-05-20,USA,7-0,257.0,44,Center,1610612757,Trail Blazers,POR,Portland,2001.0,2003.0,2001,2,49
1477,Bruce,Bowen,Bruce Bowen,1971-06-14,USA,6-7,200.0,12,Forward,1610612759,Spurs,SAS,San Antonio,1996.0,2008.0,Undrafted,Undrafted,Undrafted
76231,Dudley,Bradley,Dudley Bradley,1957-03-19,USA,6-6,195.0,22,Guard,1610612754,Pacers,IND,Indiana,1979.0,1988.0,1979,1,13
1361,Mark,Bradtke,Mark Bradtke,1968-09-27,Australia,6-10,265.0,50,Center,1610612755,76ers,PHI,Philadelphia,1996.0,1996.0,Undrafted,Undrafted,Undrafted
210,Terrell,Brandon,Terrell Brandon,1970-05-20,USA,5-11,173.0,7,Guard,1610612739,Cavaliers,CLE,Cleveland,1991.0,2002.0,1991,1,11
76239,Brad,Branson,Brad Branson,1958-09-24,USA,6-10,220.0,52,Forward,1610612754,Pacers,IND,Indiana,1981.0,1982.0,1980,2,45
1629714,Jarrell,Brantley,Jarrell Brantley,1996-06-07,USA,6-5,250.0,5,Forward,1610612762,Jazz,UTA,Utah,2019.0,2020.0,2019,2,50
1629649,Ignas,Brazdeikis,Ignas Brazdeikis,1999-01-08,Canada,6-6,221.0,17,Forward,1610612753,Magic,ORL,Orlando,2019.0,2021.0,2019,2,47
201147,Corey,Brewer,Corey Brewer,1986-03-05,USA,6-9,188.0,13,Guard-Forward,1610612750,Timberwolves,MIN,Minnesota,2007.0,2019.0,2007,1,7
1629151,Ryan,Broekhoff,Ryan Broekhoff,1990-08-23,Australia,6-6,215.0,45,Guard-Forward,1610612742,Mavericks,DAL,Dallas,2018.0,2019.0,Undrafted,Undrafted,Undrafted
1629717,Armoni,Brooks,Armoni Brooks,1998-06-05,USA,6-3,195.0,1,Guard,1610612761,Raptors,TOR,Toronto,2020.0,2021.0,2019,,
76266,Michael,Brooks,Michael Brooks,1958-08-17,USA,6-7,220.0,35,Forward,1610612746,Clippers,SDC,San Diego,1980.0,1987.0,1980,1,9
418,Scott,Brooks,Scott Brooks,1965-07-31,USA,5-11,165.0,2,Guard,1610612745,Rockets,HOU,Houston,1988.0,1997.0,Undrafted,Undrafted,Undrafted
1628971,Bruce,Brown,Bruce Brown,1996-08-15,USA,6-4,202.0,11,Guard-Forward,1610612743,Nuggets,DEN,Denver,2018.0,2022.0,2018,2,42
359,Chucky,Brown,Chucky Brown,1968-02-29,USA,6-8,220.0,52,Forward,1610612739,Cavaliers,CLE,Cleveland,1989.0,2001.0,1989,2,43
2245,Damone,Brown,Damone Brown,1979-06-28,USA,6-8,202.0,,Forward,0,,,,2001.0,2004.0,2001,2,36
2081,Ernest,Brown,Ernest Brown,1979-05-17,USA,7-0,244.0,52,Center,1610612748,Heat,MIA,Miami,2001.0,2003.0,2000,2,52
76272,Fred,Brown,Fred Brown,1948-08-07,USA,6-3,182.0,32,Guard,1610612760,SuperSonics,SEA,Seattle,1971.0,1983.0,1971,1,6
203913,Jabari,Brown,Jabari Brown,1992-12-18,USA,6-5,214.0,15,Guard,1610612747,Lakers,LAL,Los Angeles,2014.0,2014.0,2014,,
136,P.J.,Brown,P.J. Brown,1969-10-14,USA,6-11,239.0,93,Forward-Center,1610612740,Hornets,NOK,New Orleans/Oklahoma City,1993.0,2007.0,1992,2,29
753,Randy,Brown,Randy Brown,1968-05-22,USA,6-2,190.0,0,Guard,1610612741,Bulls,CHI,Chicago,1991.0,2002.0,1991,2,31
76268,Tony,Brown,Tony Brown,1960-07-29,USA,6-6,185.0,21,Forward,1610612749,Bucks,MIL,Milwaukee,1984.0,1991.0,1982,4,82
1629718,Charlie,Brown Jr.,Charlie Brown Jr.,1997-02-02,USA,6-6,199.0,16,Guard,1610612755,76ers,PHI,Philadelphia,2019.0,2021.0,Undrafted,Undrafted,Undrafted
76288,Stanley,Brundy,Stanley Brundy,1967-11-13,USA,6-6,210.0,21,Forward,1610612751,Nets,NJN,New Jersey,1989.0,1989.0,1989,2,32
76290,Joe,Bryant,Joe Bryant,1954-10-19,USA,6-10,185.0,22,Forward,1610612755,76ers,PHI,Philadelphia,1975.0,1982.0,1975,1,14
76291,Wallace,Bryant,Wallace Bryant,1959-07-14,USA,7-0,245.0,31,Center,1610612742,Mavericks,DAL,Dallas,1983.0,1985.0,1982,2,30
1761,Greg,Buckner,Greg Buckner,1976-09-16,USA,6-4,210.0,7,Guard,1610612742,Mavericks,DAL,Dallas,1999.0,2008.0,1998,2,53
76296,Quinn,Buckner,Quinn Buckner,1954-08-20,USA,6-3,190.0,25,Guard,1610612749,Bucks,MIL,Milwaukee,1976.0,1985.0,1976,1,7
1934,Rodney,Buford,Rodney Buford,1977-11-02,USA,6-5,195.0,2,Forward-Guard,1610612751,Nets,NJN,New Jersey,1999.0,2004.0,1999,2,53
672,Matt,Bullard,Matt Bullard,1967-06-05,USA,6-10,229.0,50,Forward,1610612745,Rockets,HOU,Houston,1990.0,2002.0,Undrafted,Undrafted,Undrafted
197,Scott,Burrell,Scott Burrell,1971-01-12,USA,6-7,218.0,2,Guard,1610612766,Hornets,CHH,Charlotte,1993.0,2000.0,1993,1,20
416,Willie,Burton,Willie Burton,1968-05-26,USA,6-8,210.0,,Forward,0,,,,1990.0,1998.0,1990,1,9
1630215,Jared,Butler,Jared Butler,2000-08-25,USA,6-3,193.0,14,Guard,1610612760,Thunder,OKC,Oklahoma City,2021.0,2022.0,2021,2,40
348,Mitchell,Butler,Mitchell Butler,1970-12-15,USA,6-5,210.0,32,Guard,1610612764,Wizards,WAS,Washington,1993.0,2003.0,Undrafted,Undrafted,Undrafted
2446,Rasual,Butler,Rasual Butler,1979-05-23,USA,6-7,215.0,,Forward,0,,,,2002.0,2015.0,2002,2,52
201182,Derrick,Byars,Derrick Byars,1984-04-25,USA,6-7,220.0,34,Guard-Forward,1610612759,Spurs,SAS,San Antonio,2011.0,2011.0,2007,2,42
203998,Bruno,Caboclo,Bruno Caboclo,1995-09-21,Brazil,6-9,218.0,,Forward,0,,,,2014.0,2020.0,2014,1,20
679,Jason,Caffey,Jason Caffey,1973-06-12,USA,6-8,256.0,35,Forward,1610612741,Bulls,CHI,Chicago,1995.0,2002.0,1995,1,20
262,Michael,Cage,Michael Cage,1962-01-28,USA,6-9,224.0,,Center,0,,,,1984.0,1999.0,1984,1,14
101181,Jose,Calderon,Jose Calderon,1981-09-28,Spain,6-3,200.0,81,Guard,1610612761,Raptors,TOR,Toronto,2005.0,2018.0,Undrafted,Undrafted,Undrafted
922,Elden,Campbell,Elden Campbell,1968-07-23,USA,7-0,279.0,41,Center-Forward,1610612747,Lakers,LAL,Los Angeles,1990.0,2004.0,1990,1,27
2073,Brian,Cardinal,Brian Cardinal,1977-05-02,USA,6-8,240.0,35,Forward,1610612763,Grizzlies,MEM,Memphis,2000.0,2011.0,2000,2,44
156,Antoine,Carr,Antoine Carr,1961-07-23,USA,6-9,225.0,,Forward,0,,,,1984.0,1999.0,1983,1,8
713,Chris,Carr,Chris Carr,1974-03-12,USA,6-6,220.0,,Guard,0,,,,1995.0,2000.0,1995,2,56
1757,Cory,Carr,Cory Carr,1975-12-05,USA,6-4,210.0,21,Guard,1610612741,Bulls,CHI,Chicago,1998.0,1998.0,1998,2,49
1853,Anthony,Carter,Anthony Carter,1975-06-16,USA,6-1,190.0,,Guard,0,,,,1999.0,2011.0,Undrafted,Undrafted,Undrafted
76358,Howard,Carter,Howard Carter,1961-10-26,USA,6-5,215.0,32,Guard,1610612743,Nuggets,DEN,Denver,1983.0,1984.0,1983,1,15
1713,Vince,Carter,Vince Carter,1977-01-26,USA,6-6,220.0,15,Guard-Forward,1610612761,Raptors,TOR,Toronto,1998.0,2019.0,1998,1,5
208,Sam,Cassell,Sam Cassell,1969-11-18,USA,6-3,185.0,28,Guard,1610612749,Bucks,MIL,Milwaukee,1993.0,2007.0,1993,1,24
767,Terry,Catledge,Terry Catledge,1963-08-22,USA,6-8,220.0,33,Forward,1610612764,Bullets,WAS,Washington,1985.0,1992.0,1985,1,21
1628505,Troy,Caupain,Troy Caupain,1995-11-29,USA,6-4,210.0,3,Guard,1610612753,Magic,ORL,Orlando,2018.0,2018.0,Undrafted,Undrafted,Undrafted
1628463,Tyler,Cavanaugh,Tyler Cavanaugh,1994-02-09,USA,6-9,238.0,34,Forward,1610612737,Hawks,ATL,Atlanta,2017.0,2018.0,Undrafted,Undrafted,Undrafted
76370,Ron,Cavenall,Ron Cavenall,1959-04-30,USA,7-1,230.0,40,Center,1610612752,Knicks,NYK,New York,1984.0,1988.0,Undrafted,Undrafted,Undrafted
76,Cedric,Ceballos,Cedric Ceballos,1969-08-02,USA,6-7,220.0,23,Forward,1610612756,Suns,PHX,Phoenix,1990.0,2000.0,1990,2,48
1630577,Julian,Champagnie,Julian Champagnie,2001-06-29,USA,6-7,217.0,30,Forward,1610612759,Spurs,SAS,San Antonio,2022.0,2022.0,Undrafted,Undrafted,Undrafted
76378,Mike,Champion,Mike Champion,1964-04-05,USA,6-10,230.0,41,Forward,1610612760,SuperSonics,SEA,Seattle,1988.0,1988.0,Undrafted,Undrafted,Undrafted
2199,Tyson,Chandler,Tyson Chandler,1982-10-02,USA,7-0,235.0,6,Center,1610612752,Knicks,NYK,New York,2001.0,2019.0,2001,1,2
201163,Wilson,Chandler,Wilson Chandler,1987-05-10,USA,6-8,235.0,21,Forward,1610612743,Nuggets,DEN,Denver,2007.0,2019.0,2007,1,23
1629147,Joe,Chealey,Joe Chealey,1995-11-01,USA,6-4,190.0,,Guard,0,,,,2018.0,2019.0,2018,,
719,Randolph,Childress,Randolph Childress,1972-09-21,USA,6-2,188.0,,Guard,0,,,,1995.0,1996.0,1995,1,19
928,Robert,Churchwell,Robert Churchwell,1972-02-20,USA,6-6,195.0,21,Forward,1610612744,Warriors,GOS,Golden State,1995.0,1995.0,Undrafted,Undrafted,Undrafted
715,John,Coker,John Coker,1971-10-28,USA,,,,,0,,,,1995.0,2000.0,Undrafted,Undrafted,Undrafted
902,Bimbo,Coles,Bimbo Coles,1968-04-22,USA,6-2,182.0,12,Guard,1610612748,Heat,MIA,Miami,1990.0,2003.0,1990,2,40
200776,Mardy,Collins,Mardy Collins,1984-08-04,USA,6-6,220.0,25,Guard,1610612752,Knicks,NYK,New York,2006.0,2009.0,2006,1,29
2555,Nick,Collison,Nick Collison,1980-10-26,USA,6-10,255.0,4,Forward-Center,1610612760,Thunder,OKC,Oklahoma City,2003.0,2017.0,2003,1,12
76425,Leroy,Combs,Leroy Combs,1961-01-01,USA,6-8,210.0,34,Forward,1610612754,Pacers,IND,Indiana,1983.0,1983.0,1983,2,26
76431,Lester,Conner,Lester Conner,1959-09-17,USA,6-4,180.0,7,Guard,1610612744,Warriors,GOS,Golden State,1982.0,1994.0,1982,1,14
101215,Will,Conroy,Will Conroy,1982-12-08,USA,6-2,195.0,,Guard,0,,,,2006.0,2012.0,Undrafted,Undrafted,Undrafted
76439,David,Cooke,David Cooke,1963-09-27,USA,6-8,230.0,14,Forward,1610612758,Kings,SAC,Sacramento,1985.0,1985.0,Undrafted,Undrafted,Undrafted
76444,Michael,Cooper,Michael Cooper,1956-04-15,USA,6-7,170.0,21,Guard,1610612747,Lakers,LAL,Los Angeles,1978.0,1989.0,1978,3,60
76446,Tom,Copa,Tom Copa,1964-10-30,USA,6-10,275.0,30,Forward,1610612759,Spurs,SAS,San Antonio,1991.0,1991.0,Undrafted,Undrafted,Undrafted
203142,Chris,Copeland,Chris Copeland,1984-03-17,USA,6-9,239.0,,Forward,0,,,,2012.0,2015.0,Undrafted,Undrafted,Undrafted
76462,Dave,Cowens,Dave Cowens,1948-10-25,USA,6-9,230.0,18,Center,1610612738,Celtics,BOS,Boston,1970.0,1982.0,1970,1,4
1628470,Torrey,Craig,Torrey Craig,1990-12-19,USA,6-7,221.0,0,Forward,1610612756,Suns,PHX,Phoenix,2017.0,2022.0,Undrafted,Undrafted,Undrafted
1544,Chris,Crawford,Chris Crawford,1975-05-13,USA,6-9,235.0,4,Forward,1610612737,Hawks,ATL,Atlanta,1997.0,2003.0,1997,2,50
201621,Joe,Crawford,Joe Crawford,1986-06-17,USA,6-5,210.0,5,Guard,1610612752,Knicks,NYK,New York,2008.0,2008.0,2008,2,58
76469,Ron,Crevier,Ron Crevier,1958-08-14,USA,7-0,235.0,42,Center,1610612765,Pistons,DET,Detroit,1985.0,1985.0,1983,4,75
2343,Joe,Crispin,Joe Crispin,1979-07-18,USA,6-0,185.0,11,Guard,1610612756,Suns,PHX,Phoenix,2001.0,2001.0,Undrafted,Undrafted,Undrafted
201159,Javaris,Crittenton,Javaris Crittenton,1987-12-31,USA,6-5,200.0,8,Guard,1610612764,Wizards,WAS,Washington,2007.0,2009.0,2007,1,19
76476,Jeff,Cross,Jeff Cross,1961-09-01,USA,6-10,240.0,38,Forward,1610612746,Clippers,LAC,Los Angeles,1985.0,1985.0,1984,3,61
1629633,Jarrett,Culver,Jarrett Culver,1999-02-20,USA,6-6,195.0,,Guard-Forward,0,,,,2019.0,2022.0,2019,1,6
1629600,Jarron,Cumberland,Jarron Cumberland,1997-09-22,USA,6-5,205.0,,Guard,0,,,,2021.0,2021.0,Undrafted,Undrafted,Undrafted
76488,Radisav,Curcic,Radisav Curcic,1965-09-26,Serbia,6-10,275.0,44,Center,1610612742,Mavericks,DAL,Dallas,1992.0,1992.0,Undrafted,Undrafted,Undrafted
223,Bill,Curley,Bill Curley,1972-05-29,USA,,,,Forward,0,,,,1994.0,2000.0,1994,1,22
